Id,SalePrice
1461,120313.34990181075
1462,167200.77881298447
1463,171801.3843353534
1464,187320.81695977272
1465,193898.99113122374
1466,171192.6002756469
1467,186638.71892299852
1468,166413.09799829382
1469,194655.8940146258
1470,109938.50600692362
1471,202741.5561798117
1472,108266.4627571305
1473,96438.15711612592
1474,146625.61120120005
1475,108832.0183463489
1476,345826.65759355365
1477,239610.66868382427
1478,303916.4157171906
1479,295928.94949853944
1480,451665.9835190176
1481,281944.8370044414
1482,205374.1448355749
1483,180895.52005317667
1484,169648.76518540352
1485,195020.87094397494
1486,210573.85271354392
1487,304199.7623233552
1488,255820.64759994275
1489,193671.30680599067
1490,255504.78903335298
1491,216292.512453467
1492,93144.71128059423
1493,203924.63058449014
1494,289589.75068500824
1495,266447.8263116069
1496,258403.09154971142
1497,173739.41610397957
1498,167952.205794906
1499,156780.07987745747
1500,160814.31804580404
1501,203180.77452084457
1502,152516.67853329366
1503,293475.92955566023
1504,245971.0231365955
1505,231470.75633938413
1506,199371.2388355697
1507,253373.77682801813
1508,196253.9577912154
1509,150548.60247695446
1510,140553.2612090091
1511,153452.96200662525
1512,182008.0200535371
1513,154516.52985681625
1514,137171.03428976296
1515,212093.2005866035
1516,148123.29675569187
1517,173238.8719268574
1518,124209.44408189214
1519,238648.1664317135
1520,128751.30815487064
1521,125573.68499967747
1522,188818.36495500524
1523,98965.44897513476
1524,120133.37786604464
1525,95183.78483744164
1526,91410.92836301366
1527,88762.66680011945
1528,146156.46775644482
1529,147040.02072994364
1530,202150.2687238718
1531,140154.432779346
1532,95999.20738003973
1533,175655.52034656855
1534,157090.47865196608
1535,162501.81929551298
1536,103471.3295170695
1537,45518.34733757132
1538,160452.45630160812
1539,218268.54568617325
1540,100651.85984260647
1541,146844.02335345198
1542,155297.07543526834
1543,196649.5394047288
1544,89701.53801322868
1545,93617.54435419082
1546,136182.06714883493
1547,140855.84562922653
1548,132848.0919956112
1549,108129.7343353231
1550,134945.93765131896
1551,130508.95340381528
1552,138500.4738587815
1553,156338.25569783652
1554,115472.74340031284
1555,172477.49749240105
1556,101530.78756041324
1557,114179.9272146629
1558,120924.59670050093
1559,59699.876088463934
1560,139679.3483522844
1561,129565.7704976789
1562,131505.7294596883
1563,113177.66162618587
1564,176897.84842545493
1565,133366.5999900999
1566,248872.78680553904
1567,76386.260770467
1568,237710.82649469632
1569,122725.93207084574
1570,136385.78440763487
1571,101308.57865022356
1572,143017.0677680847
1573,253930.3352203217
1574,115133.53298622929
1575,251360.0516163858
1576,254713.17982858757
1577,184032.56675270584
1578,148953.01718478173
1579,131424.00685800856
1580,192279.85586376907
1581,166404.7897241395
1582,123624.45659602701
1583,296903.05049953924
1584,230230.77346158575
1585,150210.77564794815
1586,57939.139284212026
1587,100430.14457357477
1588,155744.31966414943
1589,100038.61335248908
1590,135660.21629827528
1591,70309.40043482336
1592,140135.45116774412
1593,129606.6018173924
1594,121212.79707646219
1595,97964.8250831581
1596,216854.10150281212
1597,164298.73188179755
1598,184939.90629723622
1599,196957.37063136604
1600,189282.667579583
1601,38714.87370124564
1602,123599.40163290082
1603,57811.7312971559
1604,264037.9711999169
1605,248993.0692442191
1606,167896.2932066376
1607,175500.11696006637
1608,211778.41953973705
1609,199689.78950280233
1610,151833.4641461469
1611,138350.43059594464
1612,195739.73203533655
1613,173400.39962273266
1614,139280.98495457345
1615,76758.18119956471
1616,51789.69957588741
1617,77019.61117070622
1618,116735.4358075537
1619,157495.11330261163
1620,149477.22952021298
1621,141602.06590227387
1622,150597.85956787725
1623,256446.15273009555
1624,224300.07038435142
1625,122388.28518195776
1626,183926.14508015465
1627,182651.5806694287
1628,279025.2755915425
1629,165225.01674233645
1630,337895.640711732
1631,206949.15937191388
1632,227836.46652207302
1633,179278.29074483307
1634,189222.72602150228
1635,182900.53836956643
1636,157105.58760059997
1637,192707.29164606426
